ID,Date,Arrest,Community Area,Latitude,Longitude
9585069,4/20/2014 23:00,FALSE,23,41.9008888,-87.73595166
9580064,4/20/2014 1:30,FALSE,16,41.95543058,-87.72296115
9578372,4/15/2014 17:00,FALSE,22,41.91732238,-87.7032962
9573884,4/15/2014 2:47,FALSE,8,41.89252579,-87.61808487
9573853,4/15/2014 13:30,FALSE,28,41.86832201,-87.68470823
9564432,4/3/2014 9:00,FALSE,28,41.88894426,-87.64178001
9561130,4/5/2014 14:00,FALSE,8,41.89826099,-87.62512838
9560663,4/2/2014 9:00,FALSE,63,41.789153,-87.68527591
9560949,4/5/2014 11:00,FALSE,33,41.85443785,-87.62999109
9547835,3/21/2014 21:40,FALSE,33,41.85313689,-87.6223853
9710641,7/25/2014 22:30,TRUE,6,41.94707944,-87.65677108
9638021,6/3/2014 23:47,FALSE,6,41.94697912,-87.65651115
9607761,5/11/2014 23:12,FALSE,4,41.97531996,-87.69905101
9738159,8/15/2014 0:00,TRUE,25,41.87687294,-87.74694509
9560691,4/5/2014 18:58,FALSE,53,41.66965461,-87.63697658
9657832,6/17/2014 23:58,TRUE,67,41.76397702,-87.65814465
9747296,8/21/2014 18:06,TRUE,68,41.77579297,-87.65425195
9637604,5/24/2014 8:00,TRUE,23,41.89987925,-87.71782634
